epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5824,1.48744,3.48967,1.57561,0.53707,0.5061,0.51049,0.26617,1.27625,6.41848,1.46301,0.0675044,0.000663176,0.000663176
2,93.3989,1.36473,2.04755,1.45094,0.74342,0.74201,0.79099,0.49814,1.16706,4.2062,1.30914,0.0348377,0.00132983,0.00132983
3,135.868,1.29842,1.59885,1.37263,0.82227,0.62398,0.75756,0.46391,1.23304,2.71262,1.36982,0.00217098,0.00199646,0.00199646
4,177.899,1.30665,1.54682,1.37852,0.8587,0.69171,0.80557,0.50703,1.19302,3.1728,1.33368,0.00199988,0.00199988,0.00199988
5,220.066,1.25566,1.40675,1.33294,0.72499,0.70192,0.76091,0.47965,1.19388,2.60825,1.30673,0.00199978,0.00199978,0.00199978
6,261.996,1.21542,1.30682,1.29871,0.86916,0.76962,0.85845,0.56332,1.14164,2.14096,1.29726,0.00199966,0.00199966,0.00199966
7,304.289,1.19899,1.27024,1.29404,0.83395,0.76016,0.84164,0.54963,1.155,1.80922,1.29851,0.00199951,0.00199951,0.00199951
8,346.263,1.16463,1.20161,1.26626,0.77647,0.79074,0.83799,0.5411,1.16235,2.05911,1.28543,0.00199933,0.00199933,0.00199933
9,388.485,1.15152,1.1618,1.26539,0.85802,0.77236,0.84298,0.5648,1.14525,1.41591,1.31268,0.00199913,0.00199913,0.00199913
10,430.582,1.15819,1.13904,1.25415,0.81905,0.78659,0.85198,0.57446,1.06536,1.05781,1.22836,0.0019989,0.0019989,0.0019989
11,472.679,1.12309,1.09416,1.24111,0.88378,0.78455,0.87929,0.58148,1.14038,1.79386,1.28582,0.00199864,0.00199864,0.00199864
12,514.689,1.11274,1.06968,1.23443,0.85493,0.81098,0.86575,0.59099,1.05173,2.75363,1.23059,0.00199835,0.00199835,0.00199835
13,557.514,1.10978,1.06751,1.24213,0.87492,0.83333,0.90326,0.60852,1.05747,1.92323,1.23776,0.00199804,0.00199804,0.00199804
14,601.602,1.09129,1.01094,1.21448,0.88228,0.80733,0.89667,0.61004,1.07722,0.93691,1.2328,0.0019977,0.0019977,0.0019977
15,647.469,1.10486,1.02702,1.23057,0.88698,0.86134,0.91351,0.62778,1.05441,1.66032,1.20811,0.00199733,0.00199733,0.00199733
16,690.336,1.07994,0.98816,1.21753,0.89116,0.84146,0.90257,0.62155,1.06201,1.41519,1.20875,0.00199693,0.00199693,0.00199693
17,730.551,1.07416,0.98029,1.20254,0.87582,0.8458,0.89845,0.61298,1.07302,1.05889,1.22678,0.00199651,0.00199651,0.00199651
18,773.791,1.07126,0.96589,1.20731,0.8831,0.86992,0.92034,0.6321,1.01654,0.8842,1.18322,0.00199606,0.00199606,0.00199606
19,818.778,1.06106,0.94989,1.2018,0.88505,0.81375,0.8892,0.61935,1.08126,1.48376,1.22617,0.00199558,0.00199558,0.00199558
20,863.561,1.04281,0.92082,1.19251,0.8923,0.85881,0.90774,0.64013,1.02352,1.40167,1.18903,0.00199508,0.00199508,0.00199508
21,906.839,1.03478,0.91689,1.18521,0.89205,0.85655,0.91345,0.62941,1.07246,1.25745,1.22723,0.00199455,0.00199455,0.00199455
22,950.003,1.0524,0.91459,1.19614,0.90801,0.80247,0.89056,0.61782,1.02845,1.23214,1.19325,0.00199399,0.00199399,0.00199399
