fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.49144,0.01,0.01,0.937,0.0005,3.0,0.8,0.2,0.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.49992,0.01,0.01006,0.91792,0.00051,2.85529,0.8,0.19476,0.50519,0.01458,0.7,0.4,0.0,0.10521,0.50527,0.0,0.0,0.0,0.52459,0.96903,0.0,0.0
0.4788,0.00948,0.01,0.98,0.00054,2.85529,0.8,0.2,0.52758,0.01158,0.75137,0.39549,0.0,0.11,0.51666,0.0,0.0,0.0,0.52459,1.0,0.0,0.0
0.54514,0.00661,0.01,0.87986,0.00058,3.05639,0.75736,0.19476,0.38254,0.01016,0.66222,0.4,0.0,0.10596,0.47167,0.0,0.0,0.0,0.47219,0.96903,0.0,0.0
0.52265,0.0065,0.01085,0.7791,0.00079,2.70866,0.8736,0.19736,0.41009,0.01016,0.6776,0.4,0.0,0.10596,0.47167,0.0,0.0,0.0,0.55757,0.98599,0.0,0.0
0.45691,0.01189,0.01006,0.96902,0.00052,3.44808,0.95,0.2,0.44756,0.01458,0.82499,0.36468,0.0,0.10521,0.55612,0.0,0.0,0.0,0.67898,0.94217,0.0,0.0
0.55668,0.00566,0.01084,0.87986,0.00058,2.88997,0.67797,0.19476,0.38146,0.01016,0.6452,0.4,0.0,0.13727,0.41105,0.0,0.0,0.0,0.58409,0.95052,0.0,0.0
0.47506,0.00899,0.01179,0.85342,0.00044,2.90148,0.82571,0.19041,0.53511,0.01354,0.7,0.34439,0.0,0.11176,0.50678,0.0,0.0,0.0,0.52153,0.80491,0.0,0.0
0.51084,0.00566,0.0111,0.94725,0.00061,2.87119,0.61654,0.19448,0.39456,0.01098,0.6452,0.42032,0.0,0.09213,0.39199,0.0,0.0,0.0,0.84872,1.0,0.0,0.0
0.57667,0.00481,0.01,0.94678,0.00063,2.5548,0.67797,0.2,0.38146,0.00934,0.71758,0.38868,0.0,0.12305,0.41105,0.0,0.0,0.0,0.58409,1.0,0.0,0.0
0.56212,0.00484,0.01097,0.98,0.0006,2.99992,0.78217,0.2,0.39898,0.00984,0.71287,0.49736,0.0,0.08713,0.40313,0.0,0.0,0.0,0.48219,1.0,0.0,0.0
0.57204,0.0051,0.01,0.76729,0.00047,2.3124,0.95,0.2,0.39898,0.00758,0.60242,0.50718,0.0,0.07663,0.53624,0.0,0.0,0.0,0.48071,1.0,0.0,0.0
