fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.5064,0.01,0.01,0.937,0.0005,3.0,0.8,0.2,0.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.4799,0.01053,0.0104,0.79082,0.00038,3.36522,0.81714,0.15766,0.67251,0.01775,0.73809,0.4,0.0,0.08809,0.66278,0.0,0.0,0.0,0.49608,0.99308,0.0,0.0
0.51792,0.00925,0.01,0.92432,0.00051,3.22944,0.79514,0.2,0.5,0.01531,0.66802,0.37847,0.0,0.10166,0.5,0.0,0.0,0.0,0.49073,1.0,0.0,0.0
0.48847,0.01105,0.01,0.98,0.00044,3.22944,0.79514,0.2,0.50819,0.01097,0.61094,0.49472,0.0,0.11115,0.5,0.0,0.0,0.0,0.3992,0.97297,0.0,0.0
0.51098,0.00801,0.01,0.77593,0.00055,3.03427,0.83003,0.2,0.62815,0.01669,0.77713,0.37847,0.0,0.0936,0.5,0.0,0.0,0.0,0.49073,0.88858,0.0,0.0
0.45618,0.01048,0.01,0.98,0.00044,3.09335,0.82475,0.18725,0.52751,0.01097,0.61094,0.49472,0.0,0.11115,0.52129,0.0,0.0,0.0,0.40447,1.0,0.0,0.0
0.47305,0.01166,0.01,0.98,0.00042,3.25647,0.76899,0.19688,0.50819,0.01189,0.62915,0.50072,0.0,0.11326,0.47174,0.0,0.0,0.0,0.39903,0.97297,0.0,0.0
0.50586,0.00747,0.01,0.74751,0.0005,3.19189,0.8786,0.2,0.69086,0.01731,0.79782,0.40502,0.0,0.08596,0.53511,0.0,0.0,0.0,0.48712,0.88858,0.0,0.0
0.50536,0.00956,0.01,0.90127,0.00051,3.27822,0.83654,0.2,0.5331,0.01531,0.66802,0.34353,0.0,0.08739,0.51044,0.0,0.0,0.0,0.48758,1.0,0.0,0.0
0.49992,0.00976,0.01,0.937,0.00064,3.42737,0.8,0.2,0.56328,0.01415,0.73054,0.36484,0.0,0.1,0.47257,0.0,0.0,0.0,0.50303,0.92456,0.0,0.0
0.46759,0.01004,0.0103,0.72411,0.00051,3.13532,0.79612,0.1728,0.52887,0.01268,0.6885,0.34974,0.0,0.09048,0.44256,0.0,0.0,0.0,0.51426,1.0,0.0,0.0
0.50149,0.00937,0.01035,0.83169,0.00056,3.22944,0.69448,0.2,0.40875,0.01472,0.57518,0.33248,0.0,0.11759,0.5,0.0,0.0,0.0,0.49332,0.96843,0.0,0.0
0.48808,0.00987,0.01,0.98,0.00051,3.25896,0.79514,0.2,0.5,0.01531,0.71878,0.37207,0.0,0.09591,0.45795,0.0,0.0,0.0,0.50224,0.99275,0.0,0.0
