fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.64264,0.01,0.01,0.937,0.0005,3.0,0.8,0.2,0.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.64719,0.01,0.01001,0.94196,0.00048,3.0233,0.8,0.19898,0.47253,0.01563,0.66562,0.3977,0.0,0.10433,0.5057,0.0,0.0,0.0,0.46812,0.95724,0.0,0.0
0.64214,0.01,0.01197,0.94196,0.00048,3.30083,0.75357,0.2,0.47989,0.00898,0.66562,0.3977,0.0,0.11102,0.5057,0.0,0.0,0.0,0.46812,0.84039,0.0,0.0
0.64795,0.00835,0.01001,0.94196,0.0004,3.02135,0.76716,0.19779,0.47058,0.00963,0.52649,0.48665,0.0,0.11266,0.43829,0.0,0.0,0.0,0.46812,0.84162,0.0,0.0
0.65416,0.0077,0.01327,0.6,0.0004,3.78164,0.61085,0.2,0.35857,0.00826,0.57748,0.48665,0.0,0.11266,0.32398,0.0,0.0,0.0,0.42767,0.84162,0.0,0.0
0.65365,0.00741,0.01327,0.61177,0.00039,3.85613,0.61094,0.2,0.36857,0.00826,0.57748,0.50097,0.0,0.11635,0.31926,0.0,0.0,0.0,0.43738,0.83244,0.0,0.0
0.64924,0.00632,0.01059,0.93659,0.00037,3.16648,0.73198,0.19727,0.47058,0.00963,0.62035,0.48665,0.0,0.11345,0.44383,0.0,0.0,0.0,0.46812,0.86779,0.0,0.0
0.6408,0.0077,0.01327,0.6,0.0004,3.8667,0.63711,0.2,0.42785,0.01035,0.57748,0.49453,0.0,0.1248,0.32398,0.0,0.0,0.0,0.46037,0.52886,0.0,0.0
0.64215,0.00865,0.01276,0.6,0.00051,3.61686,0.62734,0.18999,0.35857,0.00834,0.57527,0.64939,0.0,0.08912,0.34644,0.0,0.0,0.0,0.5843,0.8047,0.0,0.0
0.66953,0.008,0.01175,0.6,0.0004,4.61292,0.65497,0.2,0.35857,0.00934,0.57748,0.39924,0.0,0.10086,0.28533,0.0,0.0,0.0,0.47724,0.81608,0.0,0.0
0.66108,0.00757,0.01,0.70326,0.0004,4.90632,0.67958,0.2,0.30283,0.01054,0.57748,0.39924,0.0,0.10086,0.29701,0.0,0.0,0.0,0.47724,0.87097,0.0,0.0
0.65063,0.00904,0.01015,0.6,0.00026,4.85126,0.58424,0.2,0.30585,0.00908,0.50686,0.39924,0.0,0.11182,0.30928,0.0,0.0,0.0,0.47724,0.93737,0.0,0.0
0.64961,0.00769,0.0101,0.72574,0.00041,4.82973,0.68312,0.19487,0.30384,0.01049,0.58085,0.39602,0.0,0.0997,0.29701,0.0,0.0,0.0,0.47724,0.9011,0.0,0.0
0.65171,0.00746,0.01142,0.68144,0.00037,5.0,0.61288,0.19206,0.35857,0.00981,0.63655,0.4287,0.0,0.09304,0.28533,0.0,0.0,0.0,0.46541,0.79959,0.0,0.0
0.64896,0.0101,0.01126,0.88306,0.00053,5.0,0.76173,0.2,0.33915,0.0088,0.61643,0.41169,0.0,0.10086,0.26271,0.0,0.0,0.0,0.63796,0.88249,0.0,0.0
0.65334,0.00765,0.01008,0.69697,0.0004,4.96014,0.64191,0.19616,0.30034,0.0107,0.58469,0.40444,0.0,0.10067,0.30317,0.0,0.0,0.0,0.48217,0.80066,0.0,0.0
0.64628,0.00793,0.012,0.61252,0.0004,4.44167,0.63855,0.19192,0.35349,0.00875,0.57748,0.4647,0.0,0.10086,0.29942,0.0,0.0,0.0,0.52235,0.78246,0.0,0.0
0.64836,0.008,0.01233,0.6,0.00046,5.0,0.70197,0.2,0.35857,0.00992,0.59466,0.39924,0.0,0.087,0.34622,0.0,0.0,0.0,0.39237,0.86801,0.0,0.0
0.65412,0.00781,0.01227,0.6,0.00045,5.0,0.73597,0.1977,0.26503,0.0105,0.62106,0.39924,0.0,0.10086,0.20561,0.0,0.0,0.0,0.60557,0.97655,0.0,0.0
0.64535,0.00757,0.01083,0.70326,0.0004,4.90632,0.62664,0.2,0.32037,0.01185,0.63821,0.31934,0.0,0.0975,0.29882,0.0,0.0,0.0,0.5192,1.0,0.0,0.0
0.65496,0.00737,0.01323,0.66135,0.0004,3.48114,0.58657,0.198,0.39454,0.00934,0.68067,0.348,0.0,0.11273,0.31513,0.0,0.0,0.0,0.38066,0.86146,0.0,0.0
0.65857,0.008,0.01175,0.6,0.00043,4.61292,0.67691,0.14772,0.35823,0.00838,0.47599,0.58132,0.0,0.088,0.29164,0.0,0.0,0.0,0.516,0.81608,0.0,0.0
0.65122,0.00536,0.01,0.67195,0.0004,4.1865,0.72417,0.17363,0.33031,0.01223,0.59703,0.39924,0.0,0.10086,0.38326,0.0,0.0,0.0,0.47724,0.87097,0.0,0.0
0.64827,0.00808,0.01184,0.6,0.0004,4.58083,0.66598,0.2,0.35519,0.00931,0.57626,0.38932,0.0,0.09943,0.28498,0.0,0.0,0.0,0.47724,0.82444,0.0,0.0
0.65462,0.00589,0.01175,0.62489,0.0003,4.08805,0.69068,0.18092,0.3481,0.00835,0.48219,0.64535,0.0,0.0979,0.21702,0.0,0.0,0.0,0.45173,1.0,0.0,0.0
0.65335,0.00605,0.01302,0.62438,0.00042,4.55788,0.59086,0.1696,0.40976,0.00958,0.43174,0.43518,0.0,0.10448,0.35639,0.0,0.0,0.0,0.42989,0.69535,0.0,0.0
0.64531,0.00755,0.01,0.75584,0.0004,4.90632,0.67666,0.18428,0.34176,0.01119,0.57748,0.37757,0.0,0.09982,0.29733,0.0,0.0,0.0,0.58134,0.94078,0.0,0.0
0.66245,0.00879,0.01,0.6,0.00036,5.0,0.76736,0.2,0.30752,0.00878,0.70789,0.39924,0.0,0.10086,0.28533,0.0,0.0,0.0,0.47724,0.81608,0.0,0.0
0.65703,0.00584,0.01175,0.67469,0.00037,4.19506,0.49285,0.2,0.32245,0.01004,0.59336,0.38185,0.0,0.09884,0.29363,0.0,0.0,0.0,0.47724,0.69902,0.0,0.0
0.6592,0.00879,0.01,0.6,0.00038,4.87234,0.87219,0.2,0.29662,0.00871,0.70789,0.48938,0.0,0.10086,0.26667,0.0,0.0,0.0,0.43325,0.79289,0.0,0.0
0.66158,0.00847,0.01397,0.6,0.00034,2.93862,0.53549,0.15989,0.35089,0.0095,0.48915,0.45707,0.0,0.10086,0.28533,0.0,0.0,0.0,0.47724,0.70073,0.0,0.0
