fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.6592,0.01,0.01,0.937,0.0005,3.0,0.8,0.2,0.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.65476,0.01,0.01,0.937,0.00051,3.31197,0.74901,0.2,0.54118,0.01471,0.73242,0.35466,0.0,0.1,0.5,0.0,0.0,0.0,0.45372,1.0,0.0,0.0
0.68205,0.01,0.01,0.71009,0.00054,2.85599,0.69273,0.18065,0.56744,0.01724,0.7,0.29491,0.0,0.08044,0.2793,0.0,0.0,0.0,0.69458,0.96642,0.0,0.0
0.68209,0.01,0.01,0.64212,0.00048,3.0,0.65931,0.18296,0.59717,0.01281,0.42329,0.36166,0.0,0.08567,0.5821,0.0,0.0,0.0,0.41189,0.83488,0.0,0.0
0.66982,0.01,0.01,0.6,0.00045,2.9555,0.71736,0.2,0.61119,0.01295,0.41882,0.40281,0.0,0.08693,0.57821,0.0,0.0,0.0,0.41189,0.90515,0.0,0.0
0.67234,0.01095,0.01,0.64489,0.00044,2.68742,0.68502,0.18253,0.61119,0.01295,0.40935,0.38267,0.0,0.08264,0.56648,0.0,0.0,0.0,0.41189,0.90515,0.0,0.0
0.68787,0.01175,0.01223,0.60556,0.0005,2.425,0.64873,0.18949,0.59717,0.01228,0.42599,0.35959,0.0,0.06936,0.46934,0.0,0.0,0.0,0.30834,0.83173,0.0,0.0
0.68353,0.01066,0.01,0.81182,0.00038,2.68742,0.51822,0.19906,0.61119,0.01118,0.4234,0.37172,0.0,0.1033,0.48392,0.0,0.0,0.0,0.41189,0.90515,0.0,0.0
0.66362,0.00967,0.01,0.6,0.00048,2.93689,0.65931,0.18296,0.59717,0.01325,0.43306,0.35212,0.0,0.07935,0.5821,0.0,0.0,0.0,0.41516,0.84894,0.0,0.0
0.69213,0.00908,0.01063,0.81182,0.00035,2.49673,0.53887,0.19384,0.61119,0.01353,0.43843,0.32101,0.0,0.1033,0.37914,0.0,0.0,0.0,0.37641,0.77009,0.0,0.0
0.68759,0.01161,0.01219,0.60556,0.0005,2.38738,0.63317,0.18949,0.59717,0.01228,0.44434,0.36117,0.0,0.06958,0.47928,0.0,0.0,0.0,0.30834,0.83173,0.0,0.0
0.68894,0.00908,0.01063,0.89681,0.00032,2.43768,0.53887,0.15468,0.61119,0.01339,0.4124,0.32046,0.0,0.1033,0.35592,0.0,0.0,0.0,0.35871,0.79502,0.0,0.0
0.68403,0.00807,0.01162,0.83273,0.00038,2.61082,0.53736,0.19799,0.61119,0.0119,0.43545,0.32493,0.0,0.09533,0.41425,0.0,0.0,0.0,0.40305,0.81513,0.0,0.0
0.67312,0.00735,0.01232,0.92123,0.00034,2.28009,0.4451,0.2,0.44682,0.01295,0.42214,0.35743,0.0,0.1033,0.35097,0.0,0.0,0.0,0.38729,0.70216,0.0,0.0
0.6828,0.01127,0.01575,0.6,0.00064,2.05332,0.67373,0.2,0.59717,0.01586,0.3996,0.2958,0.0,0.09195,0.55627,0.0,0.0,0.0,0.27221,0.72959,0.0,0.0
0.68919,0.01136,0.0128,0.61204,0.00053,2.425,0.64873,0.2,0.58726,0.0126,0.43663,0.35959,0.0,0.06893,0.42504,0.0,0.0,0.0,0.29341,0.877,0.0,0.0
0.69207,0.00894,0.01062,0.79775,0.00038,2.45479,0.53093,0.19384,0.59491,0.01342,0.45228,0.30764,0.0,0.09787,0.41299,0.0,0.0,0.0,0.34015,0.77009,0.0,0.0
0.67506,0.01001,0.01,0.9226,0.00035,2.6728,0.60228,0.2,0.613,0.01432,0.48302,0.31828,0.0,0.10138,0.37914,0.0,0.0,0.0,0.37641,0.8051,0.0,0.0
0.61455,0.00875,0.01027,0.98,0.00032,2.43768,0.50201,0.15575,0.61119,0.01455,0.45733,0.40934,0.0,0.09638,0.39478,0.0,0.0,0.0,0.3444,0.89425,0.0,0.0
0.6685,0.01158,0.01338,0.66885,0.00048,2.27196,0.62793,0.17827,0.66912,0.01505,0.48353,0.35959,0.0,0.06378,0.42504,0.0,0.0,0.0,0.26003,0.93389,0.0,0.0
0.58961,0.00908,0.01063,0.98,0.00035,2.30629,0.53887,0.19902,0.61119,0.018,0.44162,0.32101,0.0,0.1033,0.47021,0.0,0.0,0.0,0.46478,0.74293,0.0,0.0
0.69155,0.00903,0.01215,0.82512,0.00034,1.93091,0.54391,0.2,0.61319,0.01253,0.40422,0.38421,0.0,0.10908,0.37914,0.0,0.0,0.0,0.37641,0.65621,0.0,0.0
0.68513,0.01034,0.01062,0.75883,0.00042,2.27519,0.41249,0.16146,0.67985,0.01653,0.45228,0.27425,0.0,0.09919,0.43561,0.0,0.0,0.0,0.34015,0.74061,0.0,0.0
